college,college_tier
KCC INSTITUTE OF TECHNOLOGY AND MANAGEMENT,TIER 3
KCC ITM,TIER 3
KCG COLLEGE OF TECHNOLOGY,TIER 3
KIIT BHU,TIER 3
KIIT BHUBANESWAR,TIER 3
KJ SOMAIYA COLLEGE OF ENGINEERING,TIER 2
KJ SOMAIYA INSTITUTE OF ENGINEERING AND INFORMATION TECHNOLOGY,TIER 3
KLE TECHNOLOGICAL UNIVERSITY,TIER 3
KMM,TIER 3
KONGU ENGINEERING COLLEGE,TIER 2
KRISHNA INSTITUTE OF ENGINEERING AND TECHNOLOGY,TIER 3
KS SCHOOL OF BUSINESS MANAGEMENT AND RESEARCH,TIER 3
KSOM,TIER 3
KSRM COLLEGE OF ENGINEERING,TIER 3
KUPPAM ENGINEERING COLLEGE,TIER 3
KURUKSHETRA UNIVERSITY,TIER 3
LAKIREDDY BALI REDDY COLLEGE OF ENGINEERING,TIER 3
"LAKSHMI NARAIN COLLAGE OF TECHNOLOGY, JABALPUR",TIER 3
LAKSHMI NARAIN COLLEGE OF TECHNOLOGY LNCT BHOPAL,TIER 3
LAL BAHADUR SHASTRI GROUP OF INSTITUTIONS,TIER 3
LALBHAI DALPATBHAI COLLEGE OF ENGINEERING,TIER 3
"LDRP INSTITUTE OF TECHNOLOGY AND RESEARCH, GUJARAT TECHNOLOGICAL UNIVERSITY",TIER 3
LNMIIT,TIER 2
LOYOLA INSTITUTE OF TECHNOLOGY,TIER 3
LPU,TIER 3
MAAMALLAN INSTITUTE OF TECHNOLOGY,TIER 3
MADAN MOHAN MALAVIYA UNIVERSITY OF TECHNOLOGY,TIER 2
MADHAV INSTITUTE OF TECHNOLOGY AND SCIENCE GWALIOR,TIER 3
MAHAKAL INSTITUTE OF TECHNOLOGY AND MANAGEMENT,TIER 3
MAHARAJA AGRASEN INSTITUTE OF TECHNOLOGY,TIER 3
MAHARAJA SURAJMAL INSTITUTE OF TECHNOLOGY,TIER 2
MAHARASHTRA INSTITUTE OF TECHNOLOGY,TIER 3
MAHARISHI MARKANDESHWAR ENGINEERING COLLEGE AMBALA,TIER 3
MALLAREDDY ENGINEERING COLLEGE,TIER 3
MANIPAL INSTITUTE OF TECHNOLOGY,TIER 2
MANIPAL UNIVERSITY JAIPUR,TIER 3
MANIT BHOPAL,TIER 2
MAR BASELIOS COLLEGE OF ENGINEERING AND TECHNOLOGY,TIER 3
MATRUSRI ENGINEERING COLLEGE,TIER 3
MAULANA AZAD UNIVERSITY OF TECHNOLOGY,TIER 3
"MBM ENGINEERING COLLEGE, JODHPUR",TIER 3
MCKV INSTITUTE OF ENGINEERING,TIER 3
MDU ROHTAK,TIER 3
MEDICAPS UNIVERSITY,TIER 3
MEGHNAD SAHA INSTITUTE OF TECHNOLOGY,TIER 3
MIET KURUKSHETRA,TIER 3
MIET MEERUT,TIER 3
MIT ADT UNIVERSITY,TIER 3
"MIT COLLEGE OF ENGINEERING, PUNE",TIER 3
MIT MADRAS,TIER 3
MIT MANIPAL,TIER 2
"MITHIBAI COLLEGE, MUMBAI UNIVERSITY",TIER 3
MNIT JAIPUR,TIER 2
MNNIT ALLAHABAD,TIER 1
MODERN INSTITUTE OF TECHNOLOGY AND RESEARCH CENTRE,TIER 3
MUFFAKHAM JAH COLLEGE OF ENGINEERING AND TECHNOLOGY,TIER 3
MUMBAI UNIVERSITY,TIER 2
MVGR COLLEGE OF ENGINEERING,TIER 3
MVSR ENGINEERING COLLEGE,TIER 3
NAGARJUNA COLLEGE OF ENGINEERING AND TECHNOLOGY,TIER 3
NAGPUR UNIVERSITY,TIER 3
NATIONAL INSTITUTE OF SCIENCE AND TECHNOLOGY ODISHA,TIER 3
NEHOTIA INSTITUTE OF TECHNOLOGY MANAGEMENT,TIER 3
NETAJI NAGAR COLLEGE FOR WOMENS',TIER 3
NETAJI SUBHASH ENGINEERING COLLEGE,TIER 3
NIE INSTITUTE OF TECHNOLOGY,TIER 3
NIELIT,TIER 3
NIIT,TIER 3
NIRMA UNIVERSITY,TIER 2
NIT,TIER 3
NIT AGARTALA,TIER 2
NIT CALICUT,TIER 1
NIT DELHI,TIER 2
NIT DURGAPUR,TIER 2
NIT GOA,TIER 2
NIT HAMIRPUR,TIER 2
NIT JALANDHAR,TIER 2
NIT JAMSHEDPUR,TIER 2
NIT KURUKSHETRA,TIER 1
NIT MIZORAM,TIER 2
NIT NAGPUR,TIER 2
NIT PATNA,TIER 2
NIT PUDUCHERRY,TIER 2
NIT RAIPUR,TIER 2
NIT ROURKELA,TIER 1
NIT SILCHAR,TIER 2
NIT SRINAGAR,TIER 2
NIT SURAT,TIER 2
NIT SURATHKAL,TIER 1
NIT TRICHY,TIER 1
NIT UTTARAKHAND,TIER 2
NIT WARANGAL,TIER 1
NITTE MEENAKSHI INSTITUTE OF TECHNOLOGY,TIER 3
NOIDA INSTITUTE OF ENGINEERING AND TECHNOLOGY,TIER 3
NORTHERN INDIA ENGINEERING COLLEGE,TIER 3
"NSUT, NEW DELHI",TIER 1
ODISHA UNIVERSITY OF TECHNOLOGY AND RESEARCH,TIER 3
"ORIENTAL COLLEGE OF TECHNOLOGY, BHOPAL",TIER 3
ORIENTAL INSTITUTE OF SCIENCE AND TECHNOLOGY BHOPAL,TIER 3
ORISSA ENGINEERING COLLEGE,TIER 3
OSMANIA UNIVERSITY,TIER 2
P.S.N.A COLLEGE,TIER 3
PANIMALAR INSTITUTE OF TECHNOLOGY,TIER 3
PARUL INSTITUE OF ENGINEERING AND TECHNOLOGY,TIER 3
PARUL UNIVERSITY,TIER 3
"PCE, NAGPUR",TIER 3
PEC CHANDIGARH,TIER 2
PES UNIVERSITY,TIER 2
PESCE MANDYA,TIER 3
PONDICHERRY UNIVERSITY,TIER 3
POORNIMA COLLEGE OF ENGINEERING,TIER 3
PRAGATI ENGINEERING COLLEGE,TIER 3
PRANVEER SINGH INSTITUTE OF TECHNOLOGY,TIER 3
"PRASHAD INSTITUTE OF TECHNOLOGY, JAUNPUR",TIER 3
PRESIDENCY UNIVERSITY BANGALORE,TIER 3
PRINCE SHRI VENKATESHWARA PADMAVATHY ENGINEERING COLLEGE,TIER 3
PROFESSOR RAM MEGHE INSTITUTE OF TECHNOLOGY AND RESEARCH,TIER 3
"PROGRESSIVE EDUCATION SOCIETY'S MODERN COLLEGE OF ARTS, SCIENCE AND COMMERCE, SHIVAJINAGAR, PUNE 411005",TIER 3
PSG COLLEGE OF TECHNOLOGY,TIER 2
PSIT KANPUR,TIER 3
PUNE INSTITUTE OF COMPUTER TECHNOLOGY,TIER 2
PUNE UNIVERSITY,TIER 2
PUNJAB TECHNICAL UNIVERSITY,TIER 3
PUNJAB UNIVERSITY,TIER 3
QIS COLLEGE OF ENGINEERING AND TECHNOLOGY,TIER 3
"R.C. PATEL INSTITUTE OF TECHNOLOGY, SHIRPUR",TIER 3
RAJ KUMAR GOEL INSTITUTE OF TECHNOLOGY,TIER 3
RAJA RAM BAPU INSTITUE OF TECHNOLOGY,TIER 3
RAJAGIRI SCHOOL OF ENGINEERING AND TECHNOLOGY,TIER 3
RAJALAKSHMI ENGINEERING COLLEGE,TIER 3
RAJASTHAN TECHNICAL UNIVERSITY,TIER 3
